ID         alpha     delta           x         y         v          ev         bv         ebv        ub         eub        vi         evi
122        252.018613   -43.341512  3180.370  2844.770     13.153      0.004      0.863      0.006      0.318      0.009      1.030      0.005
123        251.992426   -43.636570  3337.560   402.948     13.171      0.004      1.048      0.006      0.756      0.010      1.101      0.004
124        252.424497   -43.647624   743.987   311.469     13.186      0.005      0.767      0.007      0.136      0.010      1.066      0.005
125        252.403746   -43.486851   868.550  1641.980     13.192      0.005      0.766      0.008      0.368      0.009      0.964      0.005
126        252.145345   -43.609276  2419.640   628.823     13.195      0.004      1.146      0.008      1.075      0.011      1.194      0.005
127        252.111173   -43.590531  2624.760   783.950     13.197      0.005      1.509      0.008      1.424      0.013      1.639      0.005
128        252.278000   -43.432531  1623.360  2091.520     13.198      0.007      0.747      0.009      0.330      0.008      0.917      0.007
129        252.529312   -43.261165   114.820  3509.700     13.207      0.005      0.749      0.007      0.487      0.010      0.934      0.006
130        252.117492   -43.380779  2586.830  2519.810     13.214      0.005      0.664      0.008      0.365      0.012      0.836      0.005
131        252.173756   -43.274663  2249.100  3398.000     13.215      0.010      0.718      0.016      0.470      0.019      0.855      0.012
132        252.195296   -43.439135  2119.800  2036.870     13.219      0.007      1.686      0.009      1.759      0.014      1.811      0.008
133        252.449833   -43.539625   591.901  1205.240     13.226      0.006      0.581      0.009      0.227      0.010      0.807      0.006
134        252.422174   -43.539730   757.929  1204.370     13.228      0.005      0.804      0.009      0.464      0.011      0.983      0.006
135        252.294311   -43.310926  1525.450  3097.890     13.230      0.007      1.826      0.009      1.651      0.018      2.011      0.007
136        252.532259   -43.438297    97.129  2043.800     13.238      0.004      1.504      0.007      1.373      0.016      1.676      0.005
137        252.334453   -43.210514  1284.490  3928.880     13.251      0.006      1.005      0.009      0.527      0.010      1.233      0.006
138        252.294322   -43.464893  1525.380  1823.700     13.275      0.005      1.762      0.007      1.740      0.016      1.996      0.006
139        252.104150   -43.454435  2666.920  1910.250     13.288      0.004      2.105      0.008      1.573      0.021      2.658      0.005
140        252.349526   -43.590508  1194.010   784.147     13.288      0.006      2.255      0.012      0.727      0.022     nan      nan
141        251.981714   -43.620451  3401.860   536.347     13.300      0.003      0.881      0.006      0.321      0.010      1.046      0.004
142        252.068770   -43.670612  2879.290   121.221     13.301      0.004      0.742      0.007      0.221      0.009      0.813      0.004
143        252.265938   -43.433967  1695.760  2079.640     13.302      0.007      1.720      0.008      1.694      0.017      1.983      0.007
144        252.034121   -43.372823  3087.280  2585.650     13.306      0.005      0.794      0.009      0.098      0.012      1.063      0.006
145        252.086201   -43.218921  2774.660  3859.300     13.311      0.005      0.686      0.009      0.210      0.011      0.756      0.006
146        252.507200   -43.301237   247.547  3178.080     13.321      0.005      0.667      0.007      0.431      0.009      0.798      0.005
147        252.017338   -43.338333  3188.020  2871.080     13.323      0.004      1.017      0.006        -0.135      0.009      1.415      0.004
148        251.905794   -43.360437  3857.580  2688.150     13.341      0.005      1.489      0.007      1.126      0.013      1.747      0.006
149        252.273100   -43.210239  1652.770  3931.150     13.344      0.006      0.975      0.010      0.610      0.012      1.089      0.006
150        251.991423   -43.281733  3343.580  3339.490     13.364      0.004      0.867      0.006      0.304      0.008      0.941      0.004
151        252.410323   -43.199981   829.069  4016.050     13.376      0.008      0.559      0.011      0.368      0.011      0.689      0.008
152        252.426674   -43.673325   730.918    98.767     13.391      0.006      0.885      0.009      0.470      0.011      1.019      0.008
153        252.508134   -43.349118   241.945  2781.830     13.399      0.004      1.175      0.006      0.811      0.010      1.501      0.004
154        252.524056   -43.463759   146.367  1833.090     13.401      0.003      0.886      0.008      0.451      0.012      1.141      0.005
155        252.447860   -43.198166   603.746  4031.070     13.406      0.007      1.972      0.012      1.689      0.023      2.264      0.008
156        252.034939   -43.588913  3082.370   797.340     13.416      0.004      1.538      0.008      1.456      0.015      1.667      0.006
157        252.314285   -43.386453  1405.550  2472.850     13.419      0.006      0.552      0.009      0.378      0.011      0.685      0.006
158        252.226936   -43.349714  1929.880  2776.890     13.423      0.007      0.583      0.009      0.372      0.010      0.688      0.007
159        252.349989   -43.389429  1191.230  2448.220     13.430      0.005      2.030      0.009      1.766      0.021      2.391      0.005
160        252.050492   -43.507874  2989.010  1468.000     13.436      0.005      1.197      0.007      0.835      0.011      1.329      0.005
161        252.327254   -43.225808  1327.700  3802.310     13.439      0.007      1.965      0.010      1.719      0.020      2.220      0.007
162        252.223569   -43.406621  1950.090  2305.950     13.468      0.005      0.714      0.009      0.176      0.014      0.783      0.005
163        252.445150   -43.207066   620.016  3957.410     13.477      0.006      0.806      0.010      0.369      0.012      0.896      0.007
164        252.215987   -43.518575  1995.600  1379.440     13.485      0.005      1.498      0.007      1.583      0.017      1.639      0.006
166        252.298640   -43.438531  1499.460  2041.870     13.491      0.006      1.422      0.008      1.248      0.013      1.635      0.006
165        252.143346   -43.351318  2431.640  2763.620     13.491      0.004      1.646      0.008      1.666      0.018      1.694      0.004
167        252.360227   -43.460796  1129.780  1857.610     13.495      0.004      0.768      0.006      0.206      0.008      0.895      0.005
168        252.516369   -43.603314   192.509   678.162     13.498      0.006      1.503      0.008      1.304      0.014      1.755      0.006
169        252.352898   -43.527743  1173.770  1303.570     13.499      0.005      1.525      0.007      1.506      0.014      1.720      0.011
170        252.334405   -43.493996  1284.780  1582.850     13.501      0.004      0.853      0.006      0.149      0.009      1.157      0.004
171        252.167628   -43.487964  2285.880  1632.770     13.508      0.005      1.719      0.007      1.713      0.016      1.895      0.006
172        251.901436   -43.459862  3883.740  1865.340     13.515      0.003      0.513      0.005      0.041      0.010      0.671      0.005
173        251.883562   -43.446750  3991.030  1973.850     13.524      0.004      0.583      0.006      0.313      0.011      0.697      0.006
174        252.134570   -43.650894  2484.320   284.401     13.526      0.003      0.563      0.006      0.321      0.008      0.656      0.004
175        252.513836   -43.430795   207.714  2105.890     13.532      0.005      0.606      0.008      0.095      0.009      0.844      0.006
176        251.873297   -43.351388  4052.650  2763.040     13.534      0.005      2.211      0.008      1.480      0.024      2.592      0.005
177        252.056503   -43.476882  2952.930  1724.480     13.540      0.005      0.911      0.007      0.371      0.011      1.063      0.005
178        252.295945   -43.320284  1515.640  3020.450     13.550      0.006      1.996      0.008      1.658      0.019      2.341      0.006
179        252.102444   -43.517643  2677.160  1387.160     13.551      0.005      0.674      0.009      0.120      0.012      0.733      0.007
180        252.318535   -43.566768  1380.040   980.608     13.561      0.005      1.703      0.009      1.766      0.019      1.843      0.006
181        252.313526   -43.572244  1410.110   935.291     13.563      0.005      1.688      0.010      1.375      0.018      2.001      0.005
182        252.374925   -43.521199  1041.550  1357.730     13.572      0.006      1.960      0.009      1.811      0.021      2.234      0.007
183        252.513890   -43.266943   207.394  3461.890     13.576      0.005      0.546      0.007      0.340      0.009      0.629      0.005
184        252.398979   -43.495875   897.162  1567.300     13.581      0.006      1.286      0.009      0.929      0.012      1.539      0.006
185        252.381112   -43.461938  1004.410  1848.160     13.602      0.004      0.658      0.006      0.410      0.008      0.885      0.005
186        252.410366   -43.617607   828.813   559.876     13.605      0.004      0.885      0.009      0.358      0.013      1.152      0.019
187        252.197140   -43.436353  2108.730  2059.890     13.610      0.007      1.920      0.010      1.777      0.023      2.139      0.008
188        252.329990   -43.356967  1311.280  2716.870     13.612      0.005      0.950      0.008      0.429      0.012      1.131      0.005
189        252.095730   -43.409193  2717.460  2284.660     13.613      0.005      1.487      0.009      1.278      0.018      1.696      0.005
190        252.531796   -43.438984    99.909  2038.120     13.617      0.005      0.747      0.008      0.216      0.010      0.829      0.007
191        251.939413   -43.654598  3655.780   253.754     13.618      0.009      0.713      0.011      0.181      0.011      0.877      0.009
192        251.885442   -43.463112  3979.750  1838.440     13.619      0.003      0.684      0.005      0.469      0.010      0.812      0.004
193        251.934636   -43.525467  3684.450  1322.410     13.625      0.004      0.680      0.006      0.153      0.008      0.759      0.004
194        252.033783   -43.249794  3089.310  3603.810     13.632      0.004      1.657      0.007      1.637      0.019      1.806      0.004
195        252.116584   -43.201425  2592.280  4004.100     13.638      0.005      0.483      0.010      0.135      0.014      0.604      0.005
196        252.109867   -43.199061  2632.600  4023.660     13.648      0.006      2.039      0.013      1.628      0.027      2.289      0.006
197        252.274088   -43.399685  1646.840  2363.350     13.653      0.005      0.740      0.007      0.384      0.011      0.931      0.006
198        252.095112   -43.206079  2721.170  3965.580     13.657      0.006      0.606      0.010      0.383      0.013      0.785      0.006
199        252.266590   -43.634252  1691.850   422.133     13.674      0.006      0.781      0.010      0.514      0.013      1.058      0.006
200        252.081570   -43.208055  2802.460  3949.230     13.694      0.006      0.698      0.011      0.161      0.014      0.848      0.006
201        251.876527   -43.476221  4033.260  1729.950     13.697      0.004      1.068      0.005      0.587      0.012      1.191      0.005
202        252.198395   -43.569073  2101.200   961.531     13.700      0.006      0.717      0.009      0.344      0.011      0.955      0.007
203        252.189217   -43.419721  2156.290  2197.530     13.706      0.007      0.672      0.010      0.371      0.012      0.834      0.007
204        252.186682   -43.417296  2171.510  2217.600     13.709      0.007      0.624      0.010      0.325      0.012      0.781      0.007
205        252.315058   -43.413553  1400.910  2248.580     13.724      0.005      1.878      0.007      1.529      0.020      2.125      0.005
