ID        alpha     delta          x         y        v         ev        bv        ebv       ub        eub       vi        evi
101       253.613153   -45.021383  1972.980   11.465    13.919     0.009     1.064     0.011     0.941     0.011     1.436     0.013
102       253.747898   -45.257518  1190.490 1969.470    13.950     0.012     1.450     0.015     1.144     0.014     2.130     0.021
103       253.635809   -45.373639  1841.410 2932.330    13.953     0.003     0.755     0.007     0.516     0.016     0.906     0.016
104       253.916088   -45.167620   213.775 1224.050    13.961     0.003     1.829     0.005     1.457     0.009     2.240     0.006
105       253.944939   -45.348311    46.231 2722.310    13.973     0.004     1.575     0.007     1.244     0.009     1.969     0.015
106       253.712492   -45.029615  1396.100   79.727    13.974     0.007     0.786     0.008     0.494     0.006     1.005     0.012
107       253.857493   -45.235369   554.048 1785.810    13.994     0.020     1.028     0.022     0.113     0.012     1.612     0.022
108       253.644719   -45.096237  1789.670  632.151    14.034     0.005     0.609     0.006     0.160     0.005     0.880     0.008
109       253.744584   -45.121267  1209.730  839.696    14.053     0.005     0.655     0.006     0.217     0.007     0.888     0.008
110       253.804732   -45.340246   860.441 2655.440    14.055     0.005     0.959     0.007     0.269     0.006     1.439     0.009
111       253.727967   -45.164697  1306.230 1199.810    14.056     0.008     0.772     0.009     0.066     0.010     1.132     0.009
112       253.778546   -45.145844  1012.510 1043.480    14.070     0.006     0.909     0.007     0.028     0.009     1.478     0.008
113       253.705359   -45.085392  1437.520  542.222    14.073     0.004     0.577     0.005     0.322     0.005     0.934     0.009
114       253.663392   -45.378215  1681.230 2970.270    14.095     0.003     1.447     0.006     1.185     0.014     2.202     0.017
115       253.685993   -45.234822  1549.980 1781.280    14.096     0.020     0.833     0.023     0.446     0.016     1.061     0.025
116       253.948513   -45.208491    25.477 1562.940    14.111     0.004     2.271     0.006     1.224     0.012     2.965     0.006
117       253.949988   -45.233587    16.912 1771.040    14.135     0.006     2.143     0.008     1.357     0.013     2.748     0.008
118       253.654577   -45.344837  1732.420 2693.510    14.153     0.004     1.893     0.006     1.207     0.012     2.447     0.013
119       253.843442   -45.305030   635.643 2363.430    14.160     0.007     0.795     0.009     0.378     0.008     0.977     0.011
120       253.837516   -45.361820   670.058 2834.330    14.161     0.004     2.478     0.006     0.964     0.016     3.411     0.010
