# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
ID     alpha     delta        x        y       v       ev        bv      ebv     ub      eub       vi       evi
87    16.927818    -39.536039    901.161    2311.07    12.74    0.01    0.329    0.014    0.017    0.013    0.511    0.012
88    16.917396    -39.456533    1912.99    1653.99    12.749    0.009    0.358    0.012    0.134    0.011    0.533    0.01
89    16.926865    -39.489728    993.694    1928.33    12.754    0.008    0.361    0.01    0.097    0.009    0.56    0.012
90    16.924235    -39.489188    1249.01    1923.87    12.779    0.009    0.455    0.016    0.123    0.022       nan       nan
91    16.922089    -39.448708    1457.36    1589.32    12.781    0.009    0.637    0.011    0.222    0.01    0.848    0.01
92    16.923101    -39.420961    1359.15    1360.01    12.787    0.008    0.438    0.011    0.293    0.012    0.593    0.01
93    16.935365    -39.318355    168.435    512.023    12.791    0.013    1.56    0.02    1.731    0.017    1.704    0.016
94    16.92788    -39.418072    895.178    1336.13    12.813    0.008    0.307    0.01    0.174    0.01    0.48    0.011
95    16.917433    -39.517954    1909.38    2161.6    12.828    0.009    6.144    0.037    -5.86    0.041    0.481    0.01
96    16.927363    -39.433084    945.306    1460.2    12.857    0.008    0.994    0.011    0.848    0.012    1.072    0.01
97    16.928664    -39.471165    819.015    1774.92    12.874    0.007    1.283    0.01    0.873    0.011    1.567    0.01
98    16.928575    -39.397716    827.647    1167.9    12.885    0.006    0.32    0.008    0.192    0.009    0.515    0.009
99    16.923928    -39.452912    1278.82    1624.07    12.914    0.008    0.395    0.011    0.145    0.01    0.561    0.01
100    16.930379    -39.481385    652.485    1859.38    12.941    0.007    0.37    0.009    0.188    0.009    0.539    0.01
101    16.927399    -39.369889    941.819    937.927    12.954    0.005    0.325    0.008    0.176    0.01    0.515    0.009
102    16.925493    -39.313129    1126.91    468.832    12.963    0.009    1.613    0.012    1.208    0.014    2.007    0.011
103    16.93046    -39.508027    644.644    2079.56    12.964    0.008    0.36    0.011    0.135    0.01    0.513    0.011
104    16.920153    -39.52097    1645.31    2186.53    12.978    0.012        nan      nan     nan      nan    0.412    0.012
105    16.927803    -39.543245    902.66    2370.62    12.986    0.009    0.486    0.013    0.244    0.013    0.708    0.012
106    16.935083    -39.462242    195.793    1701.17    13.004    0.012    1.093    0.02    0.657    0.021    1.3    0.015
107    16.927578    -39.510321    924.465    2098.52    13.007    0.014    0.474    0.016    0.255    0.011       nan       nan
108    16.927604    -39.462424    921.971    1702.68    13.029    0.008    0.383    0.011    0.227    0.011    0.515    0.011
109    16.925636    -39.301058    1112.99    369.075    13.032    0.013    0.717    0.016    0.284    0.015    0.919    0.016
110    16.918409    -39.530052    1814.64    2261.59    13.046    0.007    1.596    0.012    1.584    0.014    1.732    0.01
111    16.921833    -39.408717    1482.27    1258.82    13.046    0.01    0.616    0.011    0.288    0.011    0.808    0.013
112    16.934305    -39.523544    271.38    2207.8    13.088    0.009    0.75    0.015    0.291    0.015    0.989    0.014
113    16.920211    -39.45541    1639.72    1644.71    13.095    0.02        nan      nan     nan      nan    0.705    0.02
114    16.927518    -39.468233    930.291    1750.69    13.097    0.008    0.415    0.011    0.223    0.011    0.564    0.01
115    16.928036    -39.407848    880.007    1251.64    13.129    0.007    0.366    0.009    0.28    0.01    0.542    0.01
116    16.918476    -39.503634    1808.11    2043.26    13.135    0.009        nan      nan     nan      nan    0.66    0.011
117    16.924811    -39.614161    1193.07    2956.7    13.153    0.006    0.48    0.02    0.256    0.022    0.666    0.007
118    16.924703    -39.457164    1203.59    1659.21    13.17    0.005    0.425    0.009    0.211    0.01    0.557    0.007
119    16.925101    -39.61181    1164.91    2937.27    13.209    0.006    1.612    0.02    1.652    0.024    1.792    0.008
120    16.924872    -39.502337    1187.17    2032.54    13.216    0.008    0.428    0.012    0.219    0.011    0.586    0.011
121    16.930365    -39.430693    653.897    1440.44    13.219    0.006    1.323    0.008    1.179    0.009    1.536    0.009
122    16.919617    -39.440508    1697.42    1521.55    13.219    0.009    0.395    0.011    0.257    0.01    0.581    0.011
123    16.925742    -39.506447    1102.76    2066.5    13.221    0.009    0.421    0.012    0.222    0.011    0.598    0.014
124    16.916574    -39.311644    1992.86    456.559    13.226    0.011    0.564    0.019    0.352    0.019    0.723    0.012
125    16.920523    -39.431199    1609.45    1444.62    13.238    0.01    0.396    0.012    0.231    0.01    0.557    0.017
126    16.921267    -39.408428    1537.22    1256.43    13.284    0.009    0.977    0.011    0.624    0.011    1.195    0.01
127    16.923633    -39.482899    1307.45    1871.89    13.287    0.014    0.482    0.022    0.279    0.04       nan       nan
128    16.928364    -39.493513    848.109    1959.61    13.299    0.007    0.456    0.01    0.236    0.01    0.624    0.01
129    16.933927    -39.326958    308.095    583.126    13.3    0.009    1.303    0.01    1.156    0.008    1.503    0.013
130    16.920221    -39.539623    1638.73    2340.69    13.301    0.01    1.17    0.084    -0.062    0.093    0.922    0.012
131    16.921207    -39.34035    1543.03    693.798    13.341    0.009    0.676    0.013    0.216    0.013    0.888    0.01
132    16.924184    -39.389217    1254    1097.66    13.341    0.007    0.452    0.01    0.336    0.012    0.629    0.011
133    16.924614    -39.479692    1212.24    1845.39    13.374    0.007    0.461    0.011    0.224    0.011    0.587    0.009
134    16.926622    -39.440498    1017.28    1521.47    13.379    0.006    0.414    0.01    0.287    0.011    0.557    0.008
135    16.925337    -39.400516    1142.08    1191.04    13.382    0.007    0.414    0.011    0.318    0.012    0.58    0.011
136    16.922604    -39.527798    1407.41    2242.96    13.392    0.024        nan      nan     nan      nan    0.813    0.024
137    16.922593    -39.539495    1408.47    2339.63    13.404    0.008    1.507    0.013    1.249    0.015    1.701    0.011
138    16.928044    -39.409571    879.218    1265.88    13.405    0.007    0.539    0.009    0.391    0.009    0.759    0.01
139    16.931029    -39.486133    589.432    1898.62    13.412    0.007    0.441    0.009    0.309    0.009    0.65    0.01
140    16.93394    -39.622305    306.82    3024.01    13.425    0.005    0.595    0.016    0.277    0.019    0.777    0.009
141    16.925648    -39.520452    1111.82    2182.25    13.436    0.009    0.411    0.012    0.228    0.011    0.583    0.012
142    16.924673    -39.411007    1206.48    1277.74    13.442    0.007    0.485    0.011    0.326    0.013    0.67    0.011
143    16.933347    -39.382937    364.348    1045.76    13.443    0.006    1.281    0.007    1.394    0.008    1.565    0.008
144    16.93008    -39.300659    681.585    365.778    13.471    0.009    0.796    0.012    0.337    0.012    1.056    0.01
145    16.920534    -39.523509    1608.31    2207.51    13.475    0.006    0.454    0.011    0.235    0.012    0.578    0.007
146    16.922525    -39.461225    1415.08    1692.77    13.503    0.009    0.443    0.012    0.247    0.01    0.588    0.011
147    16.930982    -39.533162    593.957    2287.29    13.506    0.009    1.649    0.013    1.658    0.014    1.891    0.012
148    16.92229    -39.453409    1437.89    1628.17    13.549    0.01    0.453    0.012    0.294    0.01    0.613    0.011
149    16.917527    -39.258559    1900.3    17.84    13.555    0.016    0.861    0.092    0.113    0.1    1.037    0.018
150    16.933466    -39.395093    352.778    1146.22    13.556    0.006    0.43    0.008    0.312    0.008    0.58    0.007
151    16.925435    -39.529779    1132.52    2259.33    13.558    0.01    0.488    0.014    0.288    0.012    0.669    0.012
152    16.925999    -39.290644    1077.81    283.006    13.581    0.009    0.55    0.013    0.362    0.014    0.795    0.011
153    16.922606    -39.527636    1407.18    2241.62    13.581    0.033    0.702    0.036   nan     nan       nan       nan
154    16.920092    -39.431233    1651.26    1444.9    13.583    0.027    0.682    0.029   nan     nan       nan       nan
155    16.933149    -39.436788    383.62    1490.81    13.619    0.006    0.783    0.008    0.278    0.008    1.073    0.008
156    16.926688    -39.456287    1010.85    1651.96    13.625    0.007    0.448    0.011    0.311    0.012    0.579    0.01
157    16.926016    -39.391943    1076.13    1120.19    13.629    0.007    0.719    0.009    0.308    0.01    0.961    0.01
158    16.934234    -39.358698    278.209    845.438    13.634    0.007    1.379    0.009    1.441    0.011    1.547    0.008
159    16.932199    -39.552729    475.821    2449    13.664    0.007    0.479    0.012    0.303    0.014    0.664    0.009
160    16.922742    -39.297026    1394    335.749    13.669    0.01    2.344    0.016    1.337    0.026    3.024    0.011
161    16.91659    -39.498241    1991.25    1998.69    13.669    0.01    0.472    0.016    0.287    0.016    0.622    0.012
162    16.920033    -39.456435    1657    1653.18    13.678    0.01    0.674    0.011    0.24    0.009    0.91    0.012
163    16.928694    -39.446624    816.109    1572.1    13.741    0.008    0.457    0.011    0.352    0.011    0.637    0.009
164    16.919705    -39.46302    1688.8    1707.6    13.743    0.043    0.461    0.045   nan     nan       nan       nan
165    16.923588    -39.470102    1311.82    1766.13    13.748    0.008    1.406    0.012    1.287    0.013    1.587    0.009
166    16.931336    -39.281706    559.645    209.139    13.752    0.013    0.414    0.021    0.322    0.021    0.66    0.014
167    16.92947    -39.443756    740.768    1548.4    13.774    0.005    0.449    0.008    0.341    0.01    0.6    0.009
168    16.924645    -39.370856    1209.18    945.915    13.778    0.006    0.578    0.008    0.371    0.009    0.782    0.01
169    16.927217    -39.349574    959.534    770.029    13.791    0.008    0.482    0.009    0.33    0.009    0.61    0.01
170    16.921976    -39.617266    1468.35    2982.36    13.795    0.008    1.373    0.018    1.304    0.02    1.535    0.01
171    16.925403    -39.468651    1135.61    1754.14    13.797    0.007    0.523    0.011    0.278    0.016    0.684    0.02
172    16.921946    -39.50468    1471.24    2051.9    13.807    0.01    0.586    0.012    0.345    0.01    0.805    0.012
173    16.924536    -39.476521    1219.81    1819.18    13.812    0.007    0.665    0.011    0.307    0.012    0.897    0.009
174    16.928121    -39.418286    871.751    1337.9    13.826    0.008    1.053    0.01    0.711    0.011    1.42    0.011
175    16.927495    -39.508968    932.547    2087.34    13.828    0.014    0.701    0.019    0.313    0.016       nan       nan
176    16.924707    -39.55164    1203.19    2440    13.854    0.011        nan      nan     nan      nan    0.651    0.012
177    16.923916    -39.49654    1279.98    1984.63    13.858    0.008    0.542    0.012    0.318    0.013    0.723    0.01
178    16.925763    -39.487333    1100.69    1908.54    13.89    0.008    0.579    0.011    0.306    0.01    0.73    0.01
179    16.935471    -39.378299    158.167    1007.43    13.892    0.007    0.848    0.009    0.402    0.009    1.046    0.008
180    16.93412    -39.554646    289.288    2464.84    13.894    0.007    0.539    0.01    0.339    0.012    0.717    0.008
181    16.921971    -39.353717    1468.82    804.274    13.914    0.008    0.788    0.01    0.251    0.01    1.051    0.01
182    16.923975    -39.466001    1274.27    1732.24    13.915    0.006    0.601    0.01    0.343    0.01    0.776    0.007
183    16.931799    -39.44013    514.694    1518.43    13.916    0.006    0.527    0.009    0.348    0.01    0.733    0.009
184    16.921979    -39.529804    1468.02    2259.54    13.92    0.008    0.585    0.013    0.289    0.014    0.71    0.01
185    16.930101    -39.460791    679.509    1689.18    13.944    0.008    0.733    0.01    0.232    0.01    0.985    0.01
186    16.91877    -39.463499    1779.65    1711.56    13.971    0.008    0.544    0.01    0.325    0.01    0.754    0.01
187    16.933742    -39.427899    326.006    1417.35    13.973    0.007    0.709    0.008    0.243    0.007    0.942    0.011
188    16.935274    -39.525696    177.276    2225.59    13.977    0.008    0.602    0.012    0.342    0.012    0.822    0.011
189    16.916468    -39.609951    2003.08    2921.91    13.979    0.016    0.717    0.036    0.368    0.039    1.011    0.019
190    16.917962    -39.477786    1858.03    1829.64    14.003    0.007    0.889    0.009    0.277    0.008    1.143    0.009
191    16.929485    -39.474961    739.299    1806.29    14.011    0.006    0.537    0.009    0.344    0.01    0.689    0.009
192    16.928369    -39.433664    847.66    1464.99    14.017    0.008    0.473    0.009    0.375    0.01    0.661    0.01
193    16.929108    -39.323894    775.952    557.801    14.037    0.006    0.928    0.009    0.424    0.012    1.139    0.009
194    16.923236    -39.516684    1346.03    2151.11    14.041    0.012    0.632    0.015    0.319    0.012    0.862    0.014
195    16.937023    -39.539488    7.482    2339.57    14.044    0.007    0.614    0.012    0.315    0.012    0.809    0.01
196    16.922018    -39.405893    1464.31    1235.48    14.052    0.031    0.844    0.04    0.248    0.036    1.043    0.044
