ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
99        250.075318-43.258730  1082.990    89.011    13.990     0.002     2.029     0.004     INDEF     INDEF     2.572     0.004
100       249.967144-43.420097  1794.800  1535.470    13.996     0.004     0.715     0.004     0.170     0.005     0.956     0.005
101       250.182665-43.363635   376.619  1029.360    14.024     0.003     0.659     0.003     0.313     0.006     0.896     0.004
102       250.086644-43.361337  1008.460  1008.760    14.065     0.003     0.664     0.003     0.303     0.006     0.900     0.003
103       250.211980-43.414590   183.722  1486.110    14.067     0.005     0.850     0.005     0.343     0.006     1.219     0.006
104       250.075937-43.429481  1078.920  1619.590    14.072     0.002     0.613     0.002     0.237     0.006     0.888     0.003
105       250.107962-43.355910   868.183   960.108    14.081     0.004     0.551     0.003    -0.536     0.002     0.767     0.010
106       249.934822-43.299041  2007.490   450.349    14.114     0.015     1.679     0.013     INDEF     INDEF     2.137     0.054
107       250.011668-43.347337  1501.820   883.269    14.156     0.002     0.727     0.003     0.346     0.006     0.992     0.003
108       250.057753-43.288825  1198.570   358.780    14.161     0.003     0.649     0.004     0.347     0.008     0.929     0.006
109       250.085125-43.394485  1018.460  1305.890    14.166     0.004     0.909     0.004     0.361     0.008     1.131     0.005
110       250.030400-43.446176  1378.560  1769.240    14.196     0.003     0.686     0.003     0.302     0.006     1.164     0.012
111       250.125894-43.318089   750.185   621.088    14.197     0.003     0.574     0.003     0.249     0.005     0.781     0.005
112       250.182519-43.314996   377.578   593.368    14.203     0.003     1.178     0.003     INDEF     INDEF     1.442     0.003
113       250.039316-43.411192  1319.890  1455.650    14.205     0.002     0.703     0.002     0.281     0.005     1.018     0.003
114       250.069133-43.375958  1123.690  1139.820    14.205     0.013     0.705     0.011     0.321     0.007     0.924     0.016
115       250.033010-43.384747  1361.390  1218.600    14.208     0.002     0.678     0.002     0.295     0.006     0.980     0.004
116       249.982467-43.373312  1693.970  1116.100    14.221     0.002     0.654     0.002     0.330     0.006     0.972     0.003
117       249.995251-43.407650  1609.850  1423.900    14.229     0.001     0.938     0.002     0.361     0.008     1.309     0.002
118       250.003982-43.270116  1552.400   191.068    14.229     0.002     1.472     0.004     INDEF     INDEF     2.029     0.004
119       250.077560-43.415975  1068.240  1498.520    14.234     0.002     0.642     0.002     0.242     0.007     0.911     0.003
120       250.017720-43.359978  1462.000   996.577    14.237     0.002     0.626     0.002     0.320     0.005     0.870     0.002
121       250.109838-43.257128   855.839    74.649    14.242     0.015     0.777     0.014     0.292     0.018     1.035     0.025
122       250.123499-43.312835   765.950   573.997    14.248     0.003     0.576     0.003     0.280     0.006     0.789     0.005
123       250.210076-43.378640   196.247  1163.860    14.253     0.002     0.973     0.003     0.514     0.009     1.403     0.004
124       250.020996-43.348792  1440.440   896.309    14.293     0.002     0.733     0.002     0.403     0.006     1.023     0.003
125       250.002470-43.429073  1562.350  1615.930    14.296     0.001     0.638     0.002     0.251     0.006     0.946     0.002
126       250.090056-43.387701   986.010  1245.080    14.299     0.003     0.600     0.003     0.267     0.006     0.846     0.004
127       250.041737-43.306701  1303.960   519.012    14.309     0.003     0.742     0.003     0.348     0.007     1.079     0.006
128       250.069894-43.355524  1118.680   956.650    14.313     0.003     0.659     0.003     0.312     0.007     0.880     0.004
129       250.114444-43.396671   825.532  1325.480    14.319     0.004     0.641     0.004     0.238     0.006     0.946     0.008
130       250.051670-43.395967  1238.600  1319.170    14.321     0.003     0.811     0.003     0.238     0.006     1.072     0.004
131       249.999936-43.334106  1579.020   764.668    14.323     0.002     0.656     0.002     0.277     0.007     0.962     0.005
132       249.966225-43.256432  1800.850    68.415    14.327     0.003     0.582     0.004     0.395     0.017     0.864     0.005
133       250.132629-43.378844   705.869  1165.690    14.329     0.003     0.603     0.004     0.295     0.007     0.853     0.004
134       249.952329-43.360574  1892.290  1001.920    14.337     0.003     0.691     0.003     0.334     0.008     1.053     0.005
135       250.056618-43.427170  1206.040  1598.870    14.353     0.002     1.028     0.002     0.473     0.025     1.396     0.005
136       250.015746-43.378304  1474.990  1160.850    14.359     0.002     0.687     0.002     0.310     0.007     0.979     0.003
137       250.148310-43.329991   602.688   727.778    14.366     0.007     0.696     0.006     0.372     0.012     1.238     0.021
138       250.032962-43.387774  1361.700  1245.730    14.371     0.002     0.689     0.002     0.312     0.006     0.999     0.003
139       250.153228-43.348911   570.324   897.373    14.372     0.008     0.656     0.008     0.308     0.009     0.893     0.016
140       250.075666-43.366095  1080.700  1051.410    14.381     0.002     0.604     0.002     0.265     0.006     0.801     0.003
141       250.094508-43.347227   956.712   882.277    14.383     0.002     0.575     0.003     0.244     0.006     0.772     0.003
142       250.078640-43.335763  1061.130   779.521    14.389     0.005     0.653     0.005     0.310     0.007     0.906     0.010
143       250.123758-43.447507   764.246  1781.170    14.393     0.002     0.642     0.003     0.254     0.006     0.899     0.004
144       250.183970-43.318084   368.034   621.044    14.404     0.003     0.612     0.003     0.322     0.006     1.080     0.016
145       250.082602-43.286833  1035.060   340.920    14.408     0.002     0.805     0.003     0.362     0.009     1.110     0.004
146       250.106020-43.403616   880.963  1387.740    14.417     0.002     0.665     0.002     0.298     0.007     0.934     0.003
147       250.017697-43.309189  1462.150   541.316    14.422     0.003     0.704     0.003     0.381     0.007     0.995     0.006
148       250.057331-43.424933  1201.350  1578.820    14.430     0.002     0.839     0.002     0.198     0.007     1.185     0.003
149       250.149437-43.312233   595.270   568.603    14.435     0.015     0.884     0.016     0.363     0.034     1.125     0.042
150       249.973053-43.326304  1755.920   694.731    14.438     0.004     0.687     0.004     0.396     0.007     0.981     0.005
151       250.135684-43.330168   685.766   729.365    14.440     0.004     0.721     0.004     0.381     0.007     0.978     0.005
152       250.040663-43.406254  1311.030  1411.380    14.445     0.002     0.654     0.003     0.254     0.006     0.924     0.003
153       250.034531-43.341735  1351.380   833.046    14.464     0.001     0.672     0.002     0.325     0.007     0.961     0.004
154       249.980610-43.433867  1706.190  1658.900    14.468     0.002     0.687     0.003     0.342     0.008     1.069     0.003
155       249.990833-43.264560  1638.920   141.265    14.491     0.001     0.800     0.004     0.313     0.015     1.070     0.004
156       249.943084-43.392059  1953.120  1284.140    14.496     0.006     0.693     0.008     0.404     0.010     1.174     0.008
157       249.980777-43.352951  1705.090   933.588    14.524     0.002     0.708     0.002     0.348     0.008     1.003     0.003
158       250.215457-43.359289   160.839   990.403    14.533     0.002     1.145     0.003     0.456     0.013     1.578     0.003
159       249.941268-43.465869  1965.070  1945.760    14.538     0.007     0.799     0.010     0.329     0.024     1.114     0.010
160       250.107356-43.352936   872.170   933.452    14.545     0.002     0.619     0.002     0.291     0.007     0.826     0.004
161       250.186873-43.391855   348.929  1282.310    14.551     0.002     0.648     0.002     0.296     0.007     0.902     0.017
162       250.237941-43.337289    12.889   793.197    14.573     0.001     0.786     0.003     0.374     0.009     1.052     0.002
